Part ID,Part,Colour,BrickLink colour ID,Qty,Availability
3004,Brick 1 x 2,Black,11,5,likely
3005,Brick 1 x 1,Black,11,2,likely
3007,Brick 2 x 8,Black,11,3,likely
3022,Plate 2 x 2,Black,11,4,likely
3023,Plate 1 x 2,Black,11,19,likely
3024,Plate 1 x 1,Black,11,14,likely
3034,Plate 2 x 8,Black,11,1,likely
3069b,Tile 1 x 2,Black,11,8,likely
3070b,Tile 1 x 1,Black,11,12,likely
3460,Plate 1 x 8,Black,11,4,likely
3623,Plate 1 x 3,Black,11,10,likely
3666,Plate 1 x 6,Black,11,4,likely
3710,Plate 1 x 4,Black,11,5,likely
6636,Tile 1 x 6,Black,11,4,likely
3003,Brick 2 x 2,Dark Blue,63,1,likely
3004,Brick 1 x 2,Dark Blue,63,2,likely
3023,Plate 1 x 2,Dark Blue,63,1,likely
3024,Plate 1 x 1,Dark Blue,63,2,likely
3070b,Tile 1 x 1,Dark Blue,63,2,likely
2431,Tile 1 x 4,Dark Bluish Gray,85,3,likely
2456,Brick 2 x 6,Dark Bluish Gray,85,7,likely
26603,Tile 2 x 3,Dark Bluish Gray,85,1,likely
3001,Brick 2 x 4,Dark Bluish Gray,85,3,likely
3002,Brick 2 x 3,Dark Bluish Gray,85,2,likely
3003,Brick 2 x 2,Dark Bluish Gray,85,2,likely
3004,Brick 1 x 2,Dark Bluish Gray,85,27,likely
3005,Brick 1 x 1,Dark Bluish Gray,85,49,likely
3007,Brick 2 x 8,Dark Bluish Gray,85,18,likely
3008,Brick 1 x 8,Dark Bluish Gray,85,28,likely
3009,Brick 1 x 6,Dark Bluish Gray,85,8,likely
3010,Brick 1 x 4,Dark Bluish Gray,85,15,likely
3020,Plate 2 x 4,Dark Bluish Gray,85,12,likely
3021,Plate 2 x 3,Dark Bluish Gray,85,8,likely
3022,Plate 2 x 2,Dark Bluish Gray,85,20,likely
3023,Plate 1 x 2,Dark Bluish Gray,85,164,likely
3024,Plate 1 x 1,Dark Bluish Gray,85,168,likely
3034,Plate 2 x 8,Dark Bluish Gray,85,1,likely
3035,Plate 4 x 8,Dark Bluish Gray,85,3,likely
3068b,Tile 2 x 2,Dark Bluish Gray,85,1,likely
3069b,Tile 1 x 2,Dark Bluish Gray,85,5,likely
3070b,Tile 1 x 1,Dark Bluish Gray,85,111,likely
3460,Plate 1 x 8,Dark Bluish Gray,85,19,likely
3622,Brick 1 x 3,Dark Bluish Gray,85,6,likely
3623,Plate 1 x 3,Dark Bluish Gray,85,21,likely
3666,Plate 1 x 6,Dark Bluish Gray,85,15,likely
3710,Plate 1 x 4,Dark Bluish Gray,85,17,likely
3795,Plate 2 x 6,Dark Bluish Gray,85,2,likely
4162,Tile 1 x 8,Dark Bluish Gray,85,1,likely
63864,Tile 1 x 3,Dark Bluish Gray,85,6,likely
6636,Tile 1 x 6,Dark Bluish Gray,85,5,likely
87079,Tile 2 x 4,Dark Bluish Gray,85,2,likely
3004,Brick 1 x 2,Light Bluish Gray,86,1,likely
3020,Plate 2 x 4,Light Bluish Gray,86,1,likely
3021,Plate 2 x 3,Light Bluish Gray,86,1,likely
3022,Plate 2 x 2,Light Bluish Gray,86,8,likely
3023,Plate 1 x 2,Light Bluish Gray,86,45,likely
3024,Plate 1 x 1,Light Bluish Gray,86,34,likely
3069b,Tile 1 x 2,Light Bluish Gray,86,3,likely
3070b,Tile 1 x 1,Light Bluish Gray,86,53,likely
3460,Plate 1 x 8,Light Bluish Gray,86,4,likely
3623,Plate 1 x 3,Light Bluish Gray,86,17,likely
3666,Plate 1 x 6,Light Bluish Gray,86,4,likely
3710,Plate 1 x 4,Light Bluish Gray,86,3,likely
63864,Tile 1 x 3,Light Bluish Gray,86,2,likely
2431,Tile 1 x 4,Red,5,1,likely
2456,Brick 2 x 6,Red,5,3,likely
3001,Brick 2 x 4,Red,5,5,likely
3002,Brick 2 x 3,Red,5,2,likely
3003,Brick 2 x 2,Red,5,14,likely
3004,Brick 1 x 2,Red,5,30,likely
3005,Brick 1 x 1,Red,5,25,likely
3008,Brick 1 x 8,Red,5,14,likely
3009,Brick 1 x 6,Red,5,4,likely
3010,Brick 1 x 4,Red,5,17,likely
3020,Plate 2 x 4,Red,5,6,likely
3021,Plate 2 x 3,Red,5,6,likely
3022,Plate 2 x 2,Red,5,5,likely
3023,Plate 1 x 2,Red,5,45,likely
3024,Plate 1 x 1,Red,5,66,likely
3031,Plate 4 x 4,Red,5,1,likely
3069b,Tile 1 x 2,Red,5,5,likely
3070b,Tile 1 x 1,Red,5,50,likely
3622,Brick 1 x 3,Red,5,22,likely
3623,Plate 1 x 3,Red,5,12,likely
3666,Plate 1 x 6,Red,5,4,likely
3710,Plate 1 x 4,Red,5,5,likely
3795,Plate 2 x 6,Red,5,1,likely
63864,Tile 1 x 3,Red,5,2,likely
3020,Plate 2 x 4,Tan,2,2,likely
3069b,Tile 1 x 2,Tan,2,2,likely
3666,Plate 1 x 6,Tan,2,1,likely
3005,Brick 1 x 1,Trans-Yellow,19,12,unverified
3008,Brick 1 x 8,Trans-Yellow,19,6,unverified
3009,Brick 1 x 6,Trans-Yellow,19,6,unverified
3024,Plate 1 x 1,Trans-Yellow,19,4,unverified
3460,Plate 1 x 8,Trans-Yellow,19,2,unverified
3666,Plate 1 x 6,Trans-Yellow,19,2,unverified
2456,Brick 2 x 6,White,1,8,likely
3001,Brick 2 x 4,White,1,9,likely
3002,Brick 2 x 3,White,1,3,likely
3003,Brick 2 x 2,White,1,10,likely
3004,Brick 1 x 2,White,1,14,likely
3005,Brick 1 x 1,White,1,14,likely
3008,Brick 1 x 8,White,1,15,likely
3009,Brick 1 x 6,White,1,14,likely
3010,Brick 1 x 4,White,1,6,likely
3020,Plate 2 x 4,White,1,3,likely
3021,Plate 2 x 3,White,1,4,likely
3022,Plate 2 x 2,White,1,18,likely
3023,Plate 1 x 2,White,1,31,likely
3024,Plate 1 x 1,White,1,74,likely
3069b,Tile 1 x 2,White,1,2,likely
3070b,Tile 1 x 1,White,1,40,likely
3460,Plate 1 x 8,White,1,4,likely
3622,Brick 1 x 3,White,1,46,likely
3623,Plate 1 x 3,White,1,14,likely
3666,Plate 1 x 6,White,1,4,likely
