Part,Color,Quantity
3004,0,5
3005,0,2
3007,0,3
3022,0,4
3023,0,19
3024,0,14
3034,0,1
3069b,0,8
3070b,0,12
3460,0,4
3623,0,10
3666,0,4
3710,0,5
6636,0,4
3003,272,1
3004,272,2
3023,272,1
3024,272,2
3070b,272,2
2431,72,3
2456,72,7
26603,72,1
3001,72,3
3002,72,2
3003,72,2
3004,72,27
3005,72,49
3007,72,18
3008,72,28
3009,72,8
3010,72,15
3020,72,12
3021,72,8
3022,72,20
3023,72,164
3024,72,168
3034,72,1
3035,72,3
3068b,72,1
3069b,72,5
3070b,72,111
3460,72,19
3622,72,6
3623,72,21
3666,72,15
3710,72,17
3795,72,2
4162,72,1
63864,72,6
6636,72,5
87079,72,2
3004,71,1
3020,71,1
3021,71,1
3022,71,8
3023,71,45
3024,71,34
3069b,71,3
3070b,71,53
3460,71,4
3623,71,17
3666,71,4
3710,71,3
63864,71,2
2431,4,1
2456,4,3
3001,4,5
3002,4,2
3003,4,14
3004,4,30
3005,4,25
3008,4,14
3009,4,4
3010,4,17
3020,4,6
3021,4,6
3022,4,5
3023,4,45
3024,4,66
3031,4,1
3069b,4,5
3070b,4,50
3622,4,22
3623,4,12
3666,4,4
3710,4,5
3795,4,1
63864,4,2
3020,19,2
3069b,19,2
3666,19,1
3005,46,12
3008,46,6
3009,46,6
3024,46,4
3460,46,2
3666,46,2
2456,15,8
3001,15,9
3002,15,3
3003,15,10
3004,15,14
3005,15,14
3008,15,15
3009,15,14
3010,15,6
3020,15,3
3021,15,4
3022,15,18
3023,15,31
3024,15,74
3069b,15,2
3070b,15,40
3460,15,4
3622,15,46
3623,15,14
3666,15,4
